id,referencia,marca,capacidad,ciudad,responsable
1355,ACH03,SAMSUNG,365,Saragoza,Sacarias
796,ACH03,KALLEY,1473,Titiribi,Sacarias
4496,ACH02,SONY,1141,Cali,Armando
8904,ACH02,KALLEY,731,Cali,Sacarias
2408,ACH01,KALLEY,711,Bogota,Benavides
8055,ACH03,SAMSUNG,433,Bucaramanga,Sacarias
900,ACH03,SONY,732,Titiribi,Romulo
6493,ACH01,KALLEY,1916,Titiribi,Ortencio
8380,ACH03,SONY,1813,Titiribi,Benavides
678,ACH02,SAMSUNG,364,Cali,Benavides
7235,ACH02,KALLEY,919,Cali,Sacarias
4904,ACH01,KALLEY,1190,Titiribi,Armando
3409,ACH02,SONY,842,Bogota,Sacarias
7763,ACH02,SAMSUNG,413,Saragoza,Benavides
8658,ACH03,SAMSUNG,987,Titiribi,Armando
1312,ACH01,SAMSUNG,1470,Bucaramanga,Romulo
7083,ACH03,SAMSUNG,1007,Cali,Ortencio
1767,ACH02,SONY,1614,Saragoza,Romulo
2743,ACH02,SONY,116,Saragoza,Ortencio
2338,ACH03,SONY,644,Titiribi,Benavides
2969,ACH03,SAMSUNG,822,Cali,Romulo
9956,ACH01,SAMSUNG,406,Bogota,Benavides
3820,ACH02,KALLEY,1412,Bogota,Ortencio
3906,ACH03,SAMSUNG,445,Bogota,Ortencio
611,ACH02,KALLEY,665,Bucaramanga,Romulo
6116,ACH02,KALLEY,1979,Cali,Benavides
7151,ACH03,SONY,1916,Saragoza,Benavides
6554,ACH02,SAMSUNG,240,Bogota,Sacarias
5877,ACH03,SAMSUNG,322,Titiribi,Benavides
1055,ACH03,SAMSUNG,1246,Titiribi,Romulo
7344,ACH03,SAMSUNG,782,Titiribi,Ortencio
8045,ACH01,KALLEY,758,Titiribi,Armando
1349,ACH01,SAMSUNG,200,Saragoza,Armando
8389,ACH01,KALLEY,763,Titiribi,Romulo
5170,ACH03,SONY,1277,Bogota,Romulo
2909,ACH03,KALLEY,497,Bucaramanga,Benavides
3117,ACH01,SAMSUNG,1772,Cali,Romulo
9092,ACH02,SAMSUNG,205,Cali,Romulo
5256,ACH02,SAMSUNG,1742,Bogota,Benavides
481,ACH02,SONY,986,Bucaramanga,Benavides
2119,ACH02,SAMSUNG,777,Titiribi,Sacarias
5472,ACH02,KALLEY,1886,Cali,Ortencio
2251,ACH03,SAMSUNG,1941,Bucaramanga,Armando
954,ACH01,SONY,202,Saragoza,Ortencio
9174,ACH03,SONY,413,Bogota,Ortencio
3039,ACH02,SAMSUNG,359,Titiribi,Benavides
1497,ACH03,SONY,291,Titiribi,Ortencio
9432,ACH01,SAMSUNG,735,Cali,Benavides
3321,ACH01,KALLEY,620,Cali,Benavides
6680,ACH03,SONY,250,Cali,Ortencio
9963,ACH02,KALLEY,1842,Bucaramanga,Sacarias
8242,ACH01,SAMSUNG,1336,Bogota,Armando
7759,ACH02,KALLEY,1985,Bucaramanga,Ortencio
1491,ACH02,SONY,231,Bucaramanga,Armando
6505,ACH01,KALLEY,1608,Titiribi,Benavides
4122,ACH01,KALLEY,1513,Titiribi,Sacarias
9811,ACH03,KALLEY,1092,Saragoza,Ortencio
8240,ACH01,SONY,1088,Cali,Ortencio
7037,ACH02,SONY,1968,Bucaramanga,Armando
658,ACH03,SONY,784,Bogota,Sacarias
505,ACH01,KALLEY,1810,Saragoza,Romulo
1603,ACH03,SAMSUNG,1457,Saragoza,Sacarias
4484,ACH02,SAMSUNG,748,Bucaramanga,Armando
7460,ACH01,SONY,641,Saragoza,Armando
7080,ACH02,KALLEY,235,Bucaramanga,Armando
8504,ACH03,KALLEY,560,Titiribi,Sacarias
6111,ACH01,SONY,1715,Saragoza,Benavides
5588,ACH01,SONY,525,Cali,Benavides
444,ACH01,SONY,1126,Cali,Sacarias
3357,ACH02,KALLEY,1288,Cali,Romulo
2332,ACH01,SAMSUNG,739,Titiribi,Benavides
6317,ACH03,KALLEY,131,Titiribi,Ortencio
1554,ACH02,KALLEY,1227,Bucaramanga,Romulo
913,ACH02,SONY,257,Cali,Romulo
8458,ACH01,SONY,1899,Titiribi,Sacarias
6308,ACH01,SAMSUNG,1508,Cali,Sacarias
5179,ACH02,SONY,1792,Titiribi,Armando
4902,ACH03,KALLEY,1355,Bucaramanga,Armando
5397,ACH03,SAMSUNG,1028,Titiribi,Armando
4088,ACH03,KALLEY,1960,Titiribi,Sacarias
5508,ACH03,SONY,1648,Bucaramanga,Armando
5962,ACH02,SAMSUNG,1360,Bogota,Ortencio
5735,ACH02,SAMSUNG,712,Saragoza,Armando
6044,ACH03,KALLEY,1235,Titiribi,Benavides
1391,ACH02,SAMSUNG,961,Cali,Sacarias
2017,ACH02,SAMSUNG,257,Saragoza,Benavides
349,ACH02,SAMSUNG,702,Bucaramanga,Benavides
5830,ACH01,SONY,1970,Bucaramanga,Romulo
9326,ACH03,KALLEY,355,Titiribi,Ortencio
9608,ACH03,SONY,708,Titiribi,Ortencio
9642,ACH03,KALLEY,790,Saragoza,Benavides
5854,ACH02,KALLEY,837,Bucaramanga,Sacarias
9919,ACH01,KALLEY,1028,Cali,Armando
3139,ACH02,SAMSUNG,1406,Bucaramanga,Benavides
4064,ACH02,SONY,741,Bogota,Sacarias
4287,ACH01,SAMSUNG,1441,Cali,Romulo
282,ACH02,KALLEY,227,Bucaramanga,Sacarias
2679,ACH03,KALLEY,386,Titiribi,Romulo
146,ACH02,SAMSUNG,576,Bogota,Benavides
5209,ACH02,SAMSUNG,273,Cali,Armando
2356,ACH03,SAMSUNG,133,Titiribi,Armando
2083,ACH03,KALLEY,977,Titiribi,Armando
4767,ACH03,SAMSUNG,1386,Saragoza,Benavides
8472,ACH03,KALLEY,933,Saragoza,Ortencio
7946,ACH03,SAMSUNG,992,Bucaramanga,Romulo
8890,ACH01,SAMSUNG,1060,Bogota,Romulo
7915,ACH02,SONY,1080,Bogota,Ortencio
3414,ACH03,SONY,838,Titiribi,Romulo
3535,ACH02,KALLEY,1707,Titiribi,Romulo
7771,ACH03,SONY,1312,Cali,Ortencio
7251,ACH02,SONY,291,Bucaramanga,Armando
4823,ACH03,SONY,1272,Titiribi,Sacarias
2778,ACH02,SONY,1947,Saragoza,Ortencio
6276,ACH02,KALLEY,774,Bucaramanga,Benavides
7884,ACH03,SAMSUNG,473,Titiribi,Romulo
3310,ACH01,SAMSUNG,515,Cali,Benavides
4973,ACH03,KALLEY,1835,Bucaramanga,Romulo
1410,ACH01,KALLEY,1309,Titiribi,Romulo
361,ACH02,SONY,1190,Titiribi,Benavides
8739,ACH03,SAMSUNG,292,Bogota,Ortencio
1571,ACH03,SAMSUNG,1300,Cali,Ortencio
8573,ACH01,SAMSUNG,942,Cali,Romulo
5079,ACH03,KALLEY,654,Titiribi,Armando
8406,ACH02,SONY,1825,Saragoza,Benavides
2237,ACH02,SAMSUNG,672,Bogota,Armando
9036,ACH01,SAMSUNG,399,Titiribi,Romulo
3963,ACH03,SAMSUNG,896,Saragoza,Ortencio
7215,ACH02,SONY,1704,Saragoza,Benavides
1232,ACH01,KALLEY,659,Bogota,Armando
8181,ACH01,SAMSUNG,842,Saragoza,Romulo
9180,ACH02,SONY,536,Cali,Benavides
1943,ACH03,SONY,1218,Saragoza,Ortencio
9975,ACH02,KALLEY,709,Bucaramanga,Benavides
2882,ACH01,SAMSUNG,1603,Saragoza,Ortencio
2496,ACH01,KALLEY,1631,Cali,Ortencio
4358,ACH02,SONY,1822,Bucaramanga,Sacarias
8722,ACH02,SONY,1945,Cali,Ortencio
2750,ACH03,KALLEY,575,Cali,Sacarias
9560,ACH01,SAMSUNG,669,Saragoza,Sacarias
5660,ACH02,SAMSUNG,947,Cali,Ortencio
6565,ACH01,SAMSUNG,1026,Bucaramanga,Sacarias
1271,ACH01,KALLEY,767,Saragoza,Ortencio
8110,ACH02,KALLEY,668,Bucaramanga,Armando
85,ACH01,SAMSUNG,493,Bucaramanga,Armando
8416,ACH01,KALLEY,702,Cali,Sacarias
5634,ACH02,KALLEY,669,Cali,Benavides
4453,ACH01,SONY,1069,Cali,Armando
5293,ACH01,KALLEY,930,Cali,Romulo
603,ACH03,SAMSUNG,1625,Bucaramanga,Armando
2164,ACH03,SONY,1539,Bogota,Ortencio
5706,ACH02,SONY,1856,Bogota,Sacarias
5308,ACH02,SAMSUNG,306,Cali,Sacarias
536,ACH01,SONY,1446,Cali,Benavides
5064,ACH01,KALLEY,1396,Bogota,Benavides
7819,ACH01,KALLEY,286,Bucaramanga,Romulo
280,ACH01,KALLEY,846,Bucaramanga,Armando
4791,ACH02,SAMSUNG,296,Titiribi,Romulo
155,ACH03,SONY,438,Titiribi,Benavides
1487,ACH01,SAMSUNG,1759,Titiribi,Ortencio
4129,ACH01,KALLEY,154,Bogota,Ortencio
1934,ACH02,SONY,133,Titiribi,Benavides
5982,ACH03,SONY,1684,Titiribi,Romulo
6741,ACH01,SONY,1082,Bogota,Armando
7570,ACH02,KALLEY,1227,Saragoza,Armando
2015,ACH03,SAMSUNG,151,Cali,Benavides
5488,ACH03,SONY,717,Cali,Sacarias
1761,ACH03,KALLEY,1388,Bogota,Armando
2583,ACH03,SONY,1789,Cali,Romulo
7940,ACH02,KALLEY,1972,Bucaramanga,Ortencio
7370,ACH03,SONY,1628,Bucaramanga,Armando
3871,ACH03,SAMSUNG,649,Bogota,Ortencio
2691,ACH01,KALLEY,577,Titiribi,Sacarias
6429,ACH01,SONY,957,Cali,Benavides
3750,ACH01,SAMSUNG,1996,Saragoza,Romulo
2220,ACH01,SONY,1695,Titiribi,Sacarias
5781,ACH02,KALLEY,222,Saragoza,Armando
3279,ACH02,KALLEY,1689,Cali,Romulo
7280,ACH02,SAMSUNG,1170,Bogota,Romulo
737,ACH01,SONY,1139,Cali,Sacarias
2545,ACH02,SONY,1435,Cali,Benavides
1929,ACH02,KALLEY,1938,Bogota,Romulo
964,ACH03,KALLEY,1363,Saragoza,Sacarias
6286,ACH03,KALLEY,1681,Titiribi,Benavides
5487,ACH03,KALLEY,811,Bogota,Benavides
439,ACH01,SONY,1904,Saragoza,Sacarias
1107,ACH01,KALLEY,1243,Saragoza,Ortencio
9527,ACH01,SAMSUNG,805,Bogota,Sacarias
78,ACH02,KALLEY,935,Cali,Sacarias
2952,ACH03,KALLEY,973,Cali,Armando
8821,ACH02,SONY,1004,Saragoza,Sacarias
3257,ACH02,SAMSUNG,276,Titiribi,Romulo
4091,ACH02,KALLEY,1668,Bogota,Armando
7313,ACH03,SONY,1473,Bogota,Romulo
9342,ACH03,KALLEY,981,Bogota,Ortencio
5378,ACH02,SONY,194,Cali,Sacarias
8853,ACH01,SAMSUNG,1023,Cali,Armando
1767,ACH03,SONY,751,Bogota,Romulo
6858,ACH03,KALLEY,1565,Bogota,Armando
8284,ACH01,KALLEY,1481,Titiribi,Ortencio
6905,ACH01,SAMSUNG,1126,Titiribi,Armando
5418,ACH03,KALLEY,892,Titiribi,Benavides
3125,ACH03,KALLEY,1841,Bucaramanga,Sacarias
3263,ACH01,KALLEY,1156,Cali,Benavides
1388,ACH01,SAMSUNG,903,Cali,Romulo
6316,ACH02,SONY,1023,Bucaramanga,Romulo
1476,ACH01,SAMSUNG,1244,Saragoza,Ortencio
8688,ACH02,SAMSUNG,230,Saragoza,Ortencio
1320,ACH01,KALLEY,530,Bogota,Benavides
1672,ACH03,SONY,610,Saragoza,Ortencio
1819,ACH03,KALLEY,503,Cali,Armando
24,ACH01,KALLEY,761,Saragoza,Ortencio
2080,ACH03,SAMSUNG,1695,Cali,Armando
7855,ACH03,SONY,962,Titiribi,Sacarias
9147,ACH03,SAMSUNG,202,Cali,Ortencio
5922,ACH01,KALLEY,1558,Titiribi,Romulo
5028,ACH02,KALLEY,166,Titiribi,Romulo
1758,ACH02,KALLEY,1446,Cali,Ortencio
9408,ACH02,SONY,1345,Bucaramanga,Armando
4534,ACH01,SONY,1157,Cali,Armando
5991,ACH03,SAMSUNG,1858,Saragoza,Ortencio
5748,ACH01,KALLEY,664,Bucaramanga,Sacarias
7362,ACH03,SONY,1118,Titiribi,Armando
2319,ACH02,KALLEY,519,Bucaramanga,Sacarias
6229,ACH02,SONY,774,Bucaramanga,Ortencio
7735,ACH03,SAMSUNG,1423,Titiribi,Benavides
3246,ACH03,KALLEY,133,Cali,Benavides
4899,ACH02,SAMSUNG,1380,Bucaramanga,Ortencio
4708,ACH03,SONY,1052,Bogota,Benavides
3073,ACH03,SONY,250,Cali,Benavides
7374,ACH01,SONY,1153,Saragoza,Armando
9259,ACH02,SAMSUNG,1801,Titiribi,Benavides
3342,ACH02,SONY,271,Saragoza,Romulo
9954,ACH01,KALLEY,1145,Bucaramanga,Sacarias
5844,ACH03,SAMSUNG,976,Bogota,Sacarias
3679,ACH01,KALLEY,1137,Bogota,Ortencio
8609,ACH03,SONY,134,Bogota,Sacarias
5863,ACH02,SONY,1323,Bogota,Sacarias
2817,ACH01,KALLEY,1658,Bucaramanga,Romulo
9871,ACH02,SONY,220,Titiribi,Sacarias
6432,ACH01,KALLEY,1369,Bucaramanga,Benavides
7526,ACH02,SAMSUNG,1473,Titiribi,Benavides
3183,ACH01,SONY,419,Bucaramanga,Sacarias
2014,ACH03,KALLEY,1558,Titiribi,Sacarias
2377,ACH02,SAMSUNG,1157,Titiribi,Ortencio
4106,ACH03,SONY,1145,Titiribi,Ortencio
6498,ACH01,SONY,268,Bogota,Sacarias
5687,ACH03,SONY,739,Bogota,Benavides
7138,ACH01,KALLEY,362,Saragoza,Ortencio
5302,ACH03,SONY,925,Bogota,Ortencio
1760,ACH03,KALLEY,1596,Titiribi,Romulo
6811,ACH01,KALLEY,299,Bucaramanga,Armando
6976,ACH01,KALLEY,1559,Titiribi,Ortencio
2467,ACH03,KALLEY,1535,Bucaramanga,Benavides
7435,ACH03,SONY,1632,Cali,Benavides
6709,ACH02,KALLEY,394,Titiribi,Romulo
560,ACH03,SONY,1121,Saragoza,Armando
3713,ACH03,SONY,632,Bucaramanga,Sacarias
3881,ACH02,KALLEY,1042,Titiribi,Sacarias
4094,ACH02,KALLEY,1089,Titiribi,Benavides
5716,ACH02,SONY,190,Bucaramanga,Romulo
5146,ACH02,SONY,1666,Bogota,Sacarias
4289,ACH02,SAMSUNG,1109,Bogota,Sacarias
5661,ACH02,KALLEY,796,Saragoza,Ortencio
616,ACH02,SONY,1213,Saragoza,Romulo
7383,ACH03,SONY,667,Titiribi,Armando
1322,ACH03,SONY,1240,Cali,Armando
1337,ACH02,SAMSUNG,568,Titiribi,Sacarias
4331,ACH03,SAMSUNG,378,Bucaramanga,Romulo
2622,ACH02,SAMSUNG,1138,Titiribi,Romulo
6613,ACH02,KALLEY,1482,Bogota,Armando
810,ACH02,KALLEY,1861,Titiribi,Romulo
9438,ACH01,SAMSUNG,1829,Bogota,Armando
2029,ACH01,SONY,918,Bogota,Benavides
6086,ACH02,SAMSUNG,720,Saragoza,Romulo
6608,ACH03,SONY,1580,Titiribi,Benavides
2586,ACH02,KALLEY,1709,Bucaramanga,Ortencio
1992,ACH03,SONY,227,Bucaramanga,Benavides
1858,ACH01,KALLEY,1782,Bucaramanga,Romulo
9408,ACH02,KALLEY,312,Bogota,Sacarias
6722,ACH02,SAMSUNG,1823,Cali,Sacarias
7220,ACH03,SAMSUNG,533,Saragoza,Benavides
1537,ACH03,SAMSUNG,1605,Bogota,Romulo
9443,ACH03,KALLEY,1538,Bogota,Benavides
3033,ACH03,SONY,243,Bucaramanga,Romulo
1582,ACH01,SONY,814,Bucaramanga,Armando
482,ACH03,KALLEY,423,Cali,Romulo
4312,ACH01,SONY,219,Bogota,Ortencio
469,ACH01,SONY,1359,Cali,Ortencio
7457,ACH01,SAMSUNG,1465,Bogota,Armando
755,ACH02,SAMSUNG,1383,Bucaramanga,Ortencio
5126,ACH03,KALLEY,1032,Saragoza,Romulo
7140,ACH02,SAMSUNG,1110,Titiribi,Romulo
7344,ACH01,SAMSUNG,773,Titiribi,Ortencio
6840,ACH01,SAMSUNG,893,Saragoza,Romulo
1741,ACH01,KALLEY,869,Titiribi,Sacarias
5508,ACH03,SONY,1498,Cali,Armando
421,ACH02,KALLEY,1947,Bucaramanga,Armando
6674,ACH03,KALLEY,1786,Bucaramanga,Benavides
1344,ACH01,KALLEY,918,Saragoza,Benavides
2616,ACH02,SONY,192,Titiribi,Armando
7439,ACH03,KALLEY,1686,Bogota,Ortencio
6659,ACH02,KALLEY,933,Saragoza,Ortencio
1337,ACH02,KALLEY,1988,Cali,Romulo
1213,ACH02,KALLEY,1836,Bogota,Romulo
6615,ACH03,KALLEY,1600,Cali,Benavides
7106,ACH01,KALLEY,189,Cali,Sacarias
5003,ACH02,KALLEY,367,Bucaramanga,Sacarias
9372,ACH03,SAMSUNG,1110,Saragoza,Benavides
7901,ACH02,KALLEY,1382,Saragoza,Armando
8373,ACH03,SAMSUNG,1591,Saragoza,Romulo
294,ACH02,KALLEY,1436,Cali,Ortencio
5580,ACH01,SONY,997,Bucaramanga,Ortencio
9473,ACH01,KALLEY,1830,Saragoza,Armando
4002,ACH01,SAMSUNG,559,Bucaramanga,Sacarias
9393,ACH03,SAMSUNG,1317,Saragoza,Sacarias
4771,ACH03,SAMSUNG,258,Bogota,Sacarias
7566,ACH01,KALLEY,789,Bogota,Sacarias
6178,ACH02,SONY,521,Titiribi,Romulo
6617,ACH02,KALLEY,1614,Cali,Romulo
8119,ACH03,KALLEY,912,Saragoza,Romulo
1437,ACH03,SONY,1760,Titiribi,Benavides
8328,ACH03,KALLEY,1562,Titiribi,Sacarias
2901,ACH03,SONY,943,Cali,Sacarias
3237,ACH03,KALLEY,252,Saragoza,Armando
9606,ACH01,SONY,1607,Bucaramanga,Ortencio
4786,ACH03,SONY,1840,Titiribi,Sacarias
2384,ACH01,SONY,197,Cali,Benavides
4049,ACH02,SONY,575,Titiribi,Sacarias
897,ACH03,SONY,1908,Bogota,Sacarias
4885,ACH01,SONY,1786,Cali,Ortencio
5025,ACH03,SAMSUNG,189,Bogota,Benavides
8007,ACH01,SONY,299,Titiribi,Armando
9344,ACH03,SONY,1634,Bucaramanga,Ortencio
3143,ACH03,KALLEY,1148,Cali,Sacarias
1278,ACH01,SONY,1955,Cali,Benavides
8559,ACH03,SAMSUNG,119,Bucaramanga,Benavides
5137,ACH02,SONY,1823,Bucaramanga,Ortencio
8202,ACH02,KALLEY,498,Bogota,Benavides
3485,ACH02,KALLEY,1653,Cali,Benavides
965,ACH02,SONY,935,Cali,Armando
2937,ACH01,SONY,1804,Bogota,Benavides
2919,ACH01,SAMSUNG,1768,Saragoza,Armando
382,ACH01,SONY,1828,Titiribi,Armando
2403,ACH02,SONY,1615,Cali,Ortencio
3225,ACH01,SAMSUNG,918,Saragoza,Benavides
9100,ACH02,KALLEY,553,Bucaramanga,Ortencio
9690,ACH01,SONY,1259,Saragoza,Benavides
9936,ACH03,SAMSUNG,1903,Bucaramanga,Ortencio
3340,ACH02,KALLEY,157,Cali,Benavides
8237,ACH02,SAMSUNG,1151,Saragoza,Ortencio
6301,ACH01,SAMSUNG,1596,Cali,Armando
4881,ACH03,SAMSUNG,741,Bucaramanga,Benavides
837,ACH02,KALLEY,239,Titiribi,Armando
3879,ACH01,SAMSUNG,888,Bogota,Romulo
1282,ACH03,SONY,806,Bucaramanga,Sacarias
6829,ACH03,SONY,1101,Cali,Sacarias
7589,ACH01,KALLEY,1367,Bucaramanga,Armando
2333,ACH01,KALLEY,135,Titiribi,Romulo
6390,ACH02,SONY,975,Titiribi,Ortencio
1209,ACH02,KALLEY,780,Bogota,Benavides
4441,ACH02,SAMSUNG,1357,Titiribi,Romulo
4565,ACH03,KALLEY,1749,Titiribi,Romulo
7288,ACH01,SAMSUNG,567,Bucaramanga,Armando
2588,ACH02,SONY,237,Cali,Benavides
4537,ACH02,SONY,415,Cali,Armando
9949,ACH03,SONY,1793,Cali,Romulo
7303,ACH02,SONY,831,Titiribi,Ortencio
3195,ACH02,SAMSUNG,1667,Titiribi,Romulo
3548,ACH01,SONY,451,Bogota,Benavides
4178,ACH03,SONY,1629,Cali,Romulo
4338,ACH02,KALLEY,879,Bucaramanga,Benavides
4546,ACH03,KALLEY,1635,Cali,Romulo
8883,ACH01,SAMSUNG,1433,Cali,Ortencio
2336,ACH02,SAMSUNG,1061,Bogota,Ortencio
1521,ACH01,SONY,1840,Cali,Benavides
6626,ACH01,SAMSUNG,101,Bucaramanga,Benavides
9032,ACH02,SONY,1172,Titiribi,Benavides
2949,ACH03,SAMSUNG,1854,Titiribi,Benavides
2986,ACH02,SAMSUNG,713,Bogota,Romulo
8924,ACH01,SAMSUNG,1654,Saragoza,Ortencio
7538,ACH01,KALLEY,1150,Bogota,Sacarias
836,ACH01,SAMSUNG,230,Saragoza,Benavides
1747,ACH01,SONY,516,Cali,Romulo
3196,ACH01,SAMSUNG,887,Titiribi,Sacarias
4689,ACH03,KALLEY,411,Cali,Sacarias
8724,ACH01,SONY,1356,Saragoza,Romulo
1923,ACH03,SONY,1779,Cali,Armando
5332,ACH02,KALLEY,1394,Bucaramanga,Benavides
7856,ACH01,SONY,1580,Cali,Romulo
7710,ACH01,KALLEY,1879,Bogota,Benavides
9641,ACH02,KALLEY,327,Bucaramanga,Benavides
680,ACH03,SONY,292,Saragoza,Sacarias
6801,ACH01,SONY,1172,Saragoza,Romulo
5446,ACH03,SAMSUNG,943,Bucaramanga,Armando
1811,ACH03,SONY,111,Bogota,Romulo
4261,ACH02,KALLEY,1609,Saragoza,Romulo
8481,ACH02,KALLEY,308,Saragoza,Sacarias
5764,ACH02,KALLEY,1543,Titiribi,Romulo
3557,ACH02,KALLEY,234,Saragoza,Benavides
298,ACH02,SAMSUNG,1406,Saragoza,Armando
70,ACH01,KALLEY,356,Saragoza,Sacarias
6152,ACH03,SAMSUNG,1545,Cali,Benavides
9993,ACH01,KALLEY,172,Bucaramanga,Sacarias
5381,ACH02,SONY,445,Bogota,Armando
9102,ACH02,SONY,1735,Saragoza,Sacarias
3408,ACH02,SONY,1121,Bogota,Ortencio
749,ACH03,SONY,768,Cali,Sacarias
9091,ACH02,SAMSUNG,1510,Saragoza,Sacarias
1105,ACH01,SAMSUNG,1066,Saragoza,Benavides
4747,ACH01,KALLEY,1124,Cali,Armando
6641,ACH01,KALLEY,584,Saragoza,Ortencio
2838,ACH02,KALLEY,854,Bogota,Romulo
4033,ACH02,SONY,1021,Saragoza,Armando
7135,ACH02,SAMSUNG,1112,Bucaramanga,Romulo
2440,ACH02,KALLEY,1640,Saragoza,Romulo
8863,ACH02,SAMSUNG,920,Bucaramanga,Romulo
1319,ACH03,SAMSUNG,864,Bogota,Armando
6714,ACH02,SONY,1301,Titiribi,Armando
957,ACH01,SAMSUNG,1351,Saragoza,Ortencio
1588,ACH01,KALLEY,795,Cali,Armando
7672,ACH02,SONY,1170,Titiribi,Benavides
2538,ACH03,SAMSUNG,1443,Bucaramanga,Sacarias
3856,ACH02,SAMSUNG,1886,Bucaramanga,Sacarias
6735,ACH03,SONY,974,Titiribi,Benavides
7447,ACH02,SONY,1284,Bucaramanga,Sacarias
7404,ACH01,SONY,1942,Bogota,Armando
5524,ACH03,KALLEY,232,Bucaramanga,Ortencio
4035,ACH02,SAMSUNG,806,Cali,Ortencio
278,ACH02,KALLEY,1219,Titiribi,Armando
5480,ACH03,SAMSUNG,1910,Saragoza,Romulo
3043,ACH01,KALLEY,1591,Titiribi,Sacarias
3977,ACH01,SAMSUNG,595,Cali,Sacarias
912,ACH03,SONY,1164,Cali,Sacarias
3982,ACH02,KALLEY,1260,Saragoza,Ortencio
9979,ACH01,SONY,898,Cali,Romulo
9408,ACH03,KALLEY,1411,Titiribi,Benavides
4477,ACH01,SAMSUNG,401,Titiribi,Armando
47,ACH03,SONY,530,Saragoza,Benavides
3523,ACH02,SONY,1490,Cali,Ortencio
5802,ACH01,SAMSUNG,161,Cali,Sacarias
9811,ACH03,SONY,1631,Bucaramanga,Armando
2798,ACH03,SAMSUNG,749,Cali,Romulo
9438,ACH01,SAMSUNG,764,Titiribi,Armando
6601,ACH02,KALLEY,1313,Cali,Benavides
4488,ACH03,KALLEY,1251,Titiribi,Sacarias
1429,ACH02,SAMSUNG,1552,Bucaramanga,Ortencio
5656,ACH02,KALLEY,115,Titiribi,Benavides
5042,ACH01,SONY,358,Bogota,Benavides
842,ACH02,KALLEY,597,Titiribi,Armando
7093,ACH01,SONY,1503,Titiribi,Benavides
498,ACH02,KALLEY,677,Saragoza,Romulo
